Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
B7Z8L6	P68431			B7Z8L6	HIST1H3A|HIST1H3B|HIST1H3C|HIST1H3D|HIST1H3E|HIST1H3F|HIST1H3G|HIST1H3H|HIST1H3I|HIST1H3J	16224021:0415:LC|16431907:0415:LC|16224021:0004:LC
B7Z8L6	Q16695		8290	B7Z8L6	HIST3H3	21078963:0415:LC|21190999:0415:LC
D3W0D1	Q6UVW9	100431172	387836	KLRF2	CLEC2A	23803857:0114:LC|20194751:0107:LC
D6RGH6	O75496	345643	51053	MCIDAS	GMNN	24064211:0114:LC|21543332:0416:LC|21543332:0006:LC|21543332:0096:LC|21543332:0007:LC
D7PBN4	D7PBN4			D7PBN4	D7PBN4	25430902:0114:LC
D9IAI1	P04049		5894	HEL-S-34	RAF1	17097642:0492:LC|17097642:0107:LC|17097642:0096:LC|14654844:0019:LC|17097642:0007:LC|17097642:0081:LC|17097642:0006:LC
E9KL30	E9KL30			E9KL30	E9KL30	14733938:0018:LC|17948026:0018:LC
E9KL30	P20618		5689	E9KL30	PSMB1	14733938:0018:LC|17948026:0018:LC
E9KL30	P28072		5694	E9KL30	PSMB6	14733938:0018:LC|17948026:0018:LC
E9KL30	P28074		5693	E9KL30	PSMB5	14733938:0018:LC|17948026:0018:LC
E9KL30	Q9Y244		51371	E9KL30	POMP	14733938:0018:LC|17948026:0018:LC
E9KL35	P05556		3688	E9KL35	ITGB1	9442085:0004:LC|15611085:0019:LC|9442085:0018:LC|9442085:0492:LC|9442085:0493:LC|9442085:0096:LC|11884618:0019:LC
E9KL35	P08069		3480	E9KL35	IGF1R	16382134:0007:LC|11884618:0024:LC|16382134:0492:LC|11884618:0492:LC|11884618:0493:LC|16382134:0059:LC|16382134:0018:LC|16382134:0493:LC|11884618:0018:LC|11884618:0019:LC|11884618:0004:LC
E9KL35	P12931		6714	E9KL35	SRC	9584165:0096:LC|11279199:0493:LC|11279199:0492:LC|9584165:0018:LC|9584165:0025:LC|9584165:0492:LC|9584165:0019:LC|11279199:0018:LC|9584165:0493:LC|9584165:0004:LC
